date,close_price,sentiment_score,sentiment_label,concordance,active_pillars,fng_raw,taker_ratio,dist_50dma_pct,vol_ratio,fwd_return_7d,fwd_return_14d,fwd_return_30d
2024-09-23,57014.05000000,58.7,Neutral,False,4,50,1.1283,6.17,0.78,-0.20,-0.50,8.44
2024-09-24,57436.25000000,60.7,Neutral,False,4,54,1.1049,6.64,0.90,-4.21,-1.36,9.65
2024-09-25,56756.30000000,64.8,Neutral,False,4,59,1.1112,5.17,0.60,-3.22,-2.37,9.08
2024-09-26,58323.89000000,62.8,Neutral,False,4,50,1.0947,7.76,1.39,-5.53,-5.42,6.68
2024-09-27,58960.04000000,62.6,Neutral,False,4,61,1.1070,8.84,1.06,-4.01,-3.15,6.79
2024-09-28,59032.59000000,57.1,Neutral,False,4,64,1.0881,8.85,0.38,-4.18,-2.32,9.25
2024-09-29,58766.59000000,64.7,Neutral,False,4,63,1.0535,8.24,0.34,-2.57,-2.42,14.23
2024-09-30,56900.96000000,51.8,Neutral,False,4,61,1.0054,4.69,1.16,-0.31,6.32,17.12
2024-10-01,55018.95000000,44.7,Neutral,False,4,50,0.9940,1.20,1.39,2.97,11.90,17.41
2024-10-02,54927.78000000,46.8,Neutral,False,4,42,1.0005,1.04,1.14,0.88,13.20,16.90
2024-10-03,55100.47000000,46.0,Neutral,False,4,37,1.0100,1.29,1.01,0.12,12.80,16.56
2024-10-04,56593.11000000,47.0,Neutral,False,4,41,1.0098,3.88,0.98,0.91,11.24,11.99
2024-10-05,56563.39000000,53.7,Neutral,False,4,49,1.0042,3.71,0.37,1.94,11.10,10.37
2024-10-06,57257.50000000,45.4,Neutral,False,4,50,1.0324,4.86,0.47,0.15,10.52,10.95
2024-10-07,56727.15000000,52.6,Neutral,False,4,50,1.0708,3.75,1.16,6.64,9.71,23.49
2024-10-08,56653.42000000,55.5,Neutral,False,4,49,1.1222,3.50,0.92,8.67,10.17,23.91
2024-10-09,55412.68000000,54.0,Neutral,False,4,49,1.0985,1.15,1.00,12.21,11.57,28.75
2024-10-10,55164.80000000,45.8,Neutral,False,4,39,1.0671,0.68,1.47,12.66,14.17,29.58
2024-10-11,57105.71000000,47.3,Neutral,False,4,32,1.0583,4.12,1.20,10.24,8.41,31.02
2024-10-12,57662.55000000,55.3,Neutral,False,4,49,1.0780,5.12,0.66,8.98,7.90,42.65
2024-10-13,57341.52000000,53.0,Neutral,False,4,50,1.0347,4.53,0.78,10.36,9.80,43.26
2024-10-14,60495.60000000,62.5,Neutral,False,4,48,1.0344,10.15,2.60,2.87,6.60,41.05
2024-10-15,61564.08000000,61.2,Neutral,False,4,65,0.9986,11.88,1.72,1.38,9.04,34.71
2024-10-16,62180.01000000,63.7,Neutral,False,4,73,1.0096,12.64,1.38,-0.57,7.18,38.44
2024-10-17,62150.77000000,59.9,Neutral,False,4,71,1.0846,12.22,1.33,1.33,3.94,37.58
2024-10-18,62952.65000000,67.4,Greed,False,4,73,1.0763,13.28,1.21,-1.66,1.99,34.89
2024-10-19,62842.78000000,65.8,Greed,False,4,72,1.0305,12.71,0.42,-0.99,2.20,35.95
2024-10-20,63281.01000000,59.6,Neutral,False,4,73,1.0513,13.09,0.79,-0.50,0.15,37.75
2024-10-21,62233.28000000,55.5,Neutral,False,4,72,0.9997,10.81,1.45,3.63,0.32,43.54
2024-10-22,62416.41000000,58.5,Neutral,False,4,70,0.9941,10.79,1.04,7.55,1.78,49.65
2024-10-23,61825.13000000,52.6,Neutral,False,4,71,0.9469,9.36,1.21,7.79,13.31,52.68
2024-10-24,62980.00000000,52.7,Neutral,False,4,69,0.8976,10.98,0.99,2.57,11.46,47.99
2024-10-25,61907.00000000,49.0,Neutral,False,4,72,0.8865,8.66,1.30,3.72,15.25,50.90
2024-10-26,62220.22000000,45.3,Neutral,False,3,,0.9141,8.70,0.56,3.22,14.89,42.89
2024-10-27,62961.58000000,49.9,Neutral,False,4,74,0.9121,9.46,0.39,0.66,18.83,39.15
2024-10-28,64491.00000000,61.8,Neutral,False,4,72,0.9756,11.54,1.40,-3.20,27.54,40.77
2024-10-29,67126.55000000,71.3,Greed,False,4,72,0.9910,15.49,2.75,-5.36,22.38,34.99
2024-10-30,66642.34000000,60.0,Neutral,False,4,77,1.0155,14.09,1.23,5.12,28.04,38.17
2024-10-31,64598.02000000,62.0,Neutral,False,4,77,0.9797,10.12,1.19,8.67,28.39,40.92
2024-11-01,64207.92000000,61.1,Neutral,False,4,75,0.9727,9.02,1.20,11.12,34.07,43.32
2024-11-02,64225.50000000,57.2,Neutral,False,4,72,1.0097,8.69,0.34,11.30,33.14,42.07
2024-11-03,63378.34000000,62.4,Neutral,False,4,74,1.0034,6.93,0.97,18.05,33.98,43.75
2024-11-04,62429.62000000,56.5,Neutral,False,4,70,0.9789,5.00,1.22,31.75,36.85,50.22
2024-11-05,63527.24000000,63.0,Neutral,False,4,70,0.9590,6.45,1.50,29.31,37.21,44.38
2024-11-06,70054.71000000,71.9,Greed,False,4,70,0.9629,16.77,4.49,21.80,27.52,34.67
2024-11-07,70197.37000000,70.3,Greed,False,4,77,0.9700,16.44,1.50,18.15,33.06,34.44
2024-11-08,71346.12000000,66.3,Greed,False,4,75,0.9757,17.76,1.03,20.66,32.31,34.05
2024-11-09,71485.06000000,61.8,Neutral,False,4,75,0.9384,17.41,0.50,19.62,30.38,29.15
2024-11-10,74817.61000000,74.4,Greed,False,4,78,0.9727,22.16,2.23,13.50,24.86,23.00
2024-11-11,82253.94000000,74.1,Greed,False,4,76,0.9766,33.20,2.65,3.86,8.08,16.77
2024-11-12,82148.94000000,59.6,Neutral,False,4,80,0.9664,31.96,3.05,6.11,6.65,16.14
2024-11-13,85326.33000000,75.3,Greed,False,4,84,0.9616,35.85,2.18,4.69,6.40,13.15
2024-11-14,82934.78000000,64.8,Neutral,False,4,88,0.9560,30.95,1.33,12.63,9.26,16.26
2024-11-15,86083.64000000,66.8,Greed,False,4,80,0.9604,34.74,0.93,9.66,6.97,15.16
2024-11-16,85507.00000000,70.3,Greed,False,4,86,0.9511,32.73,0.54,9.00,6.46,17.60
2024-11-17,84915.15000000,69.2,Greed,False,4,90,0.9169,30.76,0.56,10.01,8.37,19.11
2024-11-18,85432.65000000,64.6,Neutral,False,4,83,0.9121,30.49,0.97,4.06,6.81,13.31
