date,close_price,sentiment_score,sentiment_label,concordance,active_pillars,fng_raw,taker_ratio,dist_50dma_pct,vol_ratio,fwd_return_7d,fwd_return_14d,fwd_return_30d
2025-01-10,94726.11000000,50.0,Neutral,False,4,50,0.9095,-2.92,1.47,9.87,10.71,1.83
2025-01-11,94599.99000000,56.0,Neutral,False,4,69,0.9096,-2.96,0.34,10.52,10.73,2.99
2025-01-12,94545.06000000,53.9,Neutral,False,4,62,0.9039,-2.96,0.44,7.18,8.54,1.30
2025-01-13,94536.10000000,39.8,Neutral,False,4,61,0.8833,-2.90,2.07,8.17,7.98,3.53
2025-01-14,96560.86000000,53.3,Neutral,False,4,63,0.9103,-0.89,1.31,9.92,4.94,0.05
2025-01-15,100497.35000000,56.4,Neutral,False,4,70,0.9316,2.97,1.41,3.19,3.22,-2.98
2025-01-16,99987.30000000,51.4,Neutral,False,4,75,0.9525,2.36,1.28,3.92,4.74,-2.42
2025-01-17,104077.48000000,64.8,Neutral,False,4,75,0.9715,6.36,1.68,0.76,-1.58,-7.65
2025-01-18,104556.23000000,61.4,Neutral,False,4,77,0.9680,6.70,1.02,0.18,-3.75,-8.39
2025-01-19,101331.57000000,53.1,Neutral,False,4,77,0.9773,3.30,1.76,1.27,-3.58,-5.59
2025-01-20,102260.01000000,65.3,Greed,False,4,76,1.0000,4.14,3.18,-0.17,-0.91,-5.49
2025-01-21,106143.82000000,66.3,Greed,False,4,76,0.9964,7.87,1.54,-4.53,-7.90,-7.39
2025-01-22,103706.66000000,66.1,Greed,False,4,84,0.9767,5.23,0.74,0.03,-6.84,-7.26
2025-01-23,103910.34000000,65.5,Greed,False,4,75,0.9854,5.32,1.69,0.78,-7.08,-7.08
2025-01-24,104870.50000000,58.6,Neutral,False,4,75,0.9708,6.12,0.72,-2.33,-7.98,-8.21
2025-01-25,104746.85000000,66.4,Greed,False,4,75,0.9787,5.89,0.28,-3.92,-7.93,-12.60
2025-01-26,102620.00000000,60.6,Neutral,False,4,73,0.9720,3.68,0.31,-4.79,-6.00,-13.58
2025-01-27,102082.83000000,50.4,Neutral,False,4,71,0.9525,3.12,1.55,-0.74,-4.56,-17.47
2025-01-28,101335.52000000,56.3,Neutral,False,4,72,0.9429,2.28,0.68,-3.53,-5.48,-16.41
2025-01-29,103733.24000000,52.3,Neutral,False,4,72,0.9604,4.55,0.73,-6.86,-5.65,-18.69
2025-01-30,104722.94000000,57.4,Neutral,False,4,70,0.9737,5.47,0.62,-7.80,-7.75,-17.82
2025-01-31,102429.56000000,58.5,Neutral,False,4,76,0.9641,3.11,0.69,-5.78,-4.81,-7.97
2025-02-01,100635.65000000,58.0,Neutral,False,4,68,0.9463,1.32,0.38,-4.16,-3.05,-14.32
2025-02-02,97700.59000000,50.3,Neutral,False,4,60,0.9350,-1.56,1.10,-1.27,-1.62,-10.66
